Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
1,118 (99.5038809),321524510,Computer Engineering,JEE,AI to AI,AI,3215
2,177 (99.3783068),627124510,Computer Engineering,JEE,AI to AI,AI,6271
3,196 (99.3287908),303650710,Chemical Engineering,JEE,AI to AI,AI,3036
4,245 (99.2327202),627124520,Computer Engineering,JEE,AI to AI,AI,6271
5,252 (99.2245290),321524610,Information Technology,JEE,AI to AI,AI,3215
6,257 (99.2208660),319924510,Computer Engineering,JEE,AI to AI,AI,3199
7,336 (99.0648988),319924610,Information Technology,JEE,AI to AI,AI,3199
8,341 (99.0598283),318124510,Computer Engineering,JEE,AI to AI,AI,3181
9,487 (98.8083957),411524210,Computer Science and Engineering,JEE,AI to AI,AI,4115
10,561 (98.6863224),321537210,Electronics and Telecommunication,JEE,AI to AI,AI,3215
11,588 (98.6498675),627124610,Information Technology,JEE,AI to AI,AI,6271
12,737 (98.4181282),303653410,Food Engineering and Technology,JEE,AI to AI,AI,3036
13,741 (98.4102851),318124610,Information Technology,JEE,AI to AI,AI,3181
14,770 (98.3624884),303651310,Pharmaceuticals Chemistry and,JEE,AI to AI,AI,3036
15,817 (98.3134070),319724510,Computer Engineering,JEE,AI to AI,AI,3197
16,822 (98.2955909),411524220,Computer Science and Engineering,JEE,AI to AI,AI,4115
17,834 (98.2847251),321537610,Electronics Engineering,JEE,AI to AI,AI,
18,841 (98.2778959),627324510,Computer Engineering,JEE,AI to AI,AI,
19,844 (98.2693650),303651910,Polymer Engineering and Technology,JEE,AI to AI,AI,
20,914 (98.1657959),627324520,Computer Engineering,JEE,AI to AI,AI,
21,988 (98.0670373),319937210,Electronics and Telecommunication,JEE,AI to AI,AI,3199
22,999 (98.0439750),318161210,Mechanical Engineering,JEE,AI to AI,AI,3181
23,1085 (97.9510488),627324610,Information Technology,JEE,AI to AI,AI,6273
24,1171 (97.7997530),320924510,Computer Engineering,JEE,AI to AI,AI,3209
25,1186 (97.7700909),627137210,Electronics and Telecommunication,JEE,AI to AI,AI,6271
26,1269 (97.6665033),627137220,Electronics and Telecommunication,JEE,AI to AI,AI,6271
27,1275 (97.6589521),318224510,Computer Engineering,JEE,AI to AI,AI,3182
28,1325 (97.5939188),318524510,Computer Engineering,JEE,AI to AI,AI,3185
29,1338 (97.5759626),411524610,Information Technology,JEE,AI to AI,AI,4115
30,1471 (97.3775182),303651210,"Oil,Oleochemicals and Surfactants ",JEE,AI to AI,AI,3036
31,1477 (97.3733132),321424510,Computer Engineering,JEE,AI to AI,AI,3214
32,1513 (97.3121643),318424510,Computer Engineering,JEE,AI to AI,AI,
33,1647 (97.1190059),303672910,Surface Coating Technology,JEE,AI to AI,AI,
34,1652 (97.1170621),318137210,Electronics and Telecommunication,JEE,AI to AI,AI,3181
35,1698 (97.0630038),319961210,Mechanical Engineering,JEE,AI to AI,AI,3199
36,1743 (97.0111671),319937610,Electronics Engineering,JEE,AI to AI,AI,3199
37,1769 (96.9909647),318524520,Computer Engineering,JEE,AI to AI,AI,3185
38,1817 (96.9314317),318224610,Information Technology,JEE,AI to AI,AI,3182
39,1917 (96.7983937),628924510,Computer Engineering,JEE,AI to AI,AI,6289
,,,,,,,
,,,,,,,
,,,,,,,
40,1933 (96.7903803),411537010,Electronics and Communication,JEE,AI to AI,AI,4115
41,1975 (96.7233179),320924610,Information Technology,JEE,AI to AI,AI,3209
42,1997 (96.6846464),303651110,Dyestuff Technology,JEE,AI to AI,AI,3036
43,2058 (96.6287605),318137610,Electronics Engineering,JEE,AI to AI,AI,3181
44,2086 (96.5792369),627624510F,Computer Engineering,JEE,AI to AI,AI,6276
45,2087 (96.5792369),675424510,Computer Engineering,JEE,AI to AI,AI,
46,2114 (96.5501614),628924520,Computer Engineering,JEE,AI to AI,AI,
47,2165 (96.4839777),627337210,Electronics and Telecommunication,JEE,AI to AI,AI,
48,2170 (96.4721587),617524510,Computer Engineering,JEE,AI to AI,AI,6175
49,2308 (96.2917079),617524520,Computer Engineering,JEE,AI to AI,AI,6175
50,2355 (96.2195945),411561210,Mechanical Engineering,JEE,AI to AI,AI,4115
51,2365 (96.2088191),411537020,Electronics and Communication,JEE,AI to AI,AI,4115
52,2408 (96.1344062),627361210,Mechanical Engineering,JEE,AI to AI,AI,6273
53,2428 (96.1270705),318524610,Information Technology,JEE,AI to AI,AI,3185
54,2430 (96.1159028),317624510,Computer Engineering,JEE,AI to AI,AI,3176
55,2512 (96.0468214),319724610,Information Technology,JEE,AI to AI,AI,3197
56,2541 (96.0140479),627337220,Electronics and Telecommunication,JEE,AI to AI,AI,
57,2544 (96.0125542),517661210,Mechanical Engineering,JEE,AI to AI,AI,
58,2577 (95.9623985),627624520F,Computer Engineering,JEE,AI to AI,AI,6276
59,2585 (95.9535286),614624510,Computer Engineering,JEE,AI to AI,AI,6146
60,2654 (95.8780999),411519110,Civil Engineering,JEE,AI to AI,AI,4115
61,2686 (95.8424284),411519120,Civil Engineering,JEE,AI to AI,AI,4115
62,2705 (95.8208304),411699710,Artificial Intelligence,JEE,AI to AI,AI,4116
63,2710 (95.8208304),318237210,Electronics and Telecommunication,JEE,AI to AI,AI,3182
,,,Engg,,,,
64,2721 (95.8041384),627361220,Mechanical Engineering,JEE,AI to AI,AI,6273
,,,,,,,
65,2725 (95.8021952),627424510,Computer Engineering,JEE,AI to AI,AI,6274
66,2747 (95.7693836),679624510,Computer Engineering,JEE,AI to AI,AI,
67,2784 (95.7480839),303651410,Fibres and Textile Processing,JEE,AI to AI,AI,
,,,Technology,,,,
68,2929 (95.5630492),317624610,Information Technology,JEE,AI to AI,AI,3176
69,2963 (95.5223203),319950710,Chemical Engineering,JEE,AI to AI,AI,3199
,,,,,,,
70,3032 (95.4111527),617524610,Information Technology,JEE,AI to AI,AI,6175
,,,,,,,
71,3082 (95.3299651),313924510,Computer Engineering,JEE,AI to AI,AI,3139
72,3197 (95.1545508),318461210,Mechanical Engineering,JEE,AI to AI,AI,3184
73,3209 (95.1470485),627624610F,Information Technology,JEE,AI to AI,AI,6276
,,,,,,,
,,,,,,,
,,,,,,,
74,3212 (95.1470485),320424510,Computer Engineering,JEE,AI to AI,AI,
75,3267 (95.1037013),628924610,Information Technology,JEE,AI to AI,AI,
,,,,,,,
76,3356 (95.0000000),318490010,Electronics and Computer Science,JEE,AI to AI,AI,
77,3524 (94.7560626),430524210,Computer Science and Engineering,JEE,AI to AI,AI,4305
78,3619 (94.6445685),319761210,Mechanical Engineering,JEE,AI to AI,AI,3197
79,3650 (94.6024481),411529310,Electrical Engineering,JEE,AI to AI,AI,4115
80,3667 (94.5804018),614624610,Information Technology,JEE,AI to AI,AI,6146
81,3696 (94.5211630),675424610,Information Technology,JEE,AI to AI,AI,6754
82,3727 (94.5034688),320937210,Electronics and Telecommunication,JEE,AI to AI,AI,3209
,,,Engg,,,,
83,3892 (94.2940407),318250710,Chemical Engineering,JEE,AI to AI,AI,3182
84,3997 (94.1669390),627224510,Computer Engineering,JEE,AI to AI,AI,6272
85,4007 (94.1434699),319960610,Production Engineering,JEE,AI to AI,AI,3199
,,,,,,,
86,4020 (94.1240581),319737210,Electronics and Telecommunication,JEE,AI to AI,AI,3197
,,,Engg,,,,
87,4087 (94.0643498),627424610,Information Technology,JEE,AI to AI,AI,6274
88,4098 (94.0632129),320937610,Electronics Engineering,JEE,AI to AI,AI,3209
89,4175 (93.9633165),682224510,Computer Engineering,JEE,AI to AI,AI,6822
,,,,,,,
90,4192 (93.9298330),317424510,Computer Engineering,JEE,AI to AI,AI,3174
91,4277 (93.8320703),321424610,Information Technology,JEE,AI to AI,AI,3214
92,4469 (93.5842638),318537210,Electronics and Telecommunication,JEE,AI to AI,AI,3185
,,,Engg,,,,
93,4475 (93.5745769),321437210,Electronics and Telecommunication,JEE,AI to AI,AI,3214
,,,Engg,,,,
94,4540 (93.4999650),617724510,Computer Engineering,JEE,AI to AI,AI,6177
95,4562 (93.4744912),317637210,Electronics and Telecommunication,JEE,AI to AI,AI,3176
,,,Engg,,,,
96,4569 (93.4744912),617537210,Electronics and Telecommunication,JEE,AI to AI,AI,6175
,,,Engg,,,,
97,4573 (93.4665038),627824510,Computer Engineering,JEE,AI to AI,AI,6278
98,4636 (93.4092402),313524510,Computer Engineering,JEE,AI to AI,AI,3135
99,4697 (93.3247975),628937210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
,,,,,,,
,,,,,,,
,,,,,,,
100,4718 (93.3085018),317661210,Mechanical Engineering,JEE,AI to AI,AI,3176
101,4758 (93.2547794),313924610,Information Technology,JEE,AI to AI,AI,3139
102,4838 (93.1543113),319946110,Bio Medical Engineering,JEE,AI to AI,AI,3199
,,,,,,,
103,4873 (93.1210747),626524210,Computer Science and Engineering,JEE,AI to AI,AI,6265
104,4953 (93.0005109),320424610,Information Technology,JEE,AI to AI,AI,
105,4991 (92.9565318),318924510,Computer Engineering,JEE,AI to AI,AI,
106,5030 (92.9016617),617724520,Computer Engineering,JEE,AI to AI,AI,6177
107,5064 (92.8654920),317424520,Computer Engineering,JEE,AI to AI,AI,3174
108,5084 (92.8626381),412300210,Aeronautical Engineering,JEE,AI to AI,AI,4123
,,,,,,,
109,5095 (92.8505284),627824520,Computer Engineering,JEE,AI to AI,AI,6278
110,5101 (92.8454127),320124510,Computer Engineering,JEE,AI to AI,AI,3201
111,5129 (92.8274918),318324510,Computer Engineering,JEE,AI to AI,AI,3183
112,5143 (92.7945903),411535410,Electronics Design Technology,JEE,AI to AI,AI,4115
113,5207 (92.7230714),411537610,Electronics Engineering,JEE,AI to AI,AI,4115
114,5220 (92.7042074),617561210,Mechanical Engineering,JEE,AI to AI,AI,6175
,,,,,,,
115,5490 (92.3948115),627350710,Chemical Engineering,JEE,AI to AI,AI,
,,,,,,,
116,5502 (92.3801182),321124510,Computer Engineering,JEE,AI to AI,AI,3211
117,5540 (92.3185169),617537220,Electronics and Telecommunication,JEE,AI to AI,AI,6175
,,,Engg,,,,
118,5547 (92.3185169),675437210,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
119,5555 (92.3132106),411537620,Electronics Engineering,JEE,AI to AI,AI,4115
120,5564 (92.3132106),613924510,Computer Engineering,JEE,AI to AI,AI,6139
121,5573 (92.3118364),317637610,Electronics Engineering,JEE,AI to AI,AI,3176
122,5581 (92.2762461),319729310,Electrical Engineering,JEE,AI to AI,AI,3197
123,5815 (91.9962582),628937220,Electronics and Telecommunication,JEE,AI to AI,AI,
,,,Engg,,,,
124,5859 (91.8955919),321161210,Mechanical Engineering,JEE,AI to AI,AI,3211
125,5898 (91.8719437),627637210F,Electronics and Telecommunication,JEE,AI to AI,AI,6276
,,,Engg,,,,
126,5950 (91.8088929),617561220,Mechanical Engineering,JEE,AI to AI,AI,6175
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
127,5980 (91.7518336),614124510,Computer Engineering,JEE,AI to AI,AI,6141
,,,,,,,
128,5982 (91.7518336),678761210,Mechanical Engineering,JEE,AI to AI,AI,6787
,,,,,,,
129,6060 (91.6967740),626524610,Information Technology,JEE,AI to AI,AI,6265
130,6176 (91.5581114),313524610,Information Technology,JEE,AI to AI,AI,3135
131,6218 (91.5386571),342324510,Computer Engineering,JEE,AI to AI,AI,3423
132,6223 (91.5185911),317424610,Information Technology,JEE,AI to AI,AI,3174
133,6286 (91.4515003),321224510,Computer Engineering,JEE,AI to AI,AI,3212
,,,,,,,
134,6308 (91.4202458),628224510,Computer Engineering,JEE,AI to AI,AI,6282
,,,,,,,
135,6325 (91.4060525),342361210,Mechanical Engineering,JEE,AI to AI,AI,3423
136,6338 (91.3513965),628961210,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
137,6365 (91.3485608),627224610,Information Technology,JEE,AI to AI,AI,6272
138,6435 (91.2800421),627661210F,Mechanical Engineering,JEE,AI to AI,AI,6276
139,6457 (91.2516702),320161210,Mechanical Engineering,JEE,AI to AI,AI,3201
140,6469 (91.2388091),614650710,Chemical Engineering,JEE,AI to AI,AI,6146
141,6507 (91.1617813),680224510,Computer Engineering,JEE,AI to AI,AI,6802
142,6585 (91.1136597),627637220F,Electronics and Telecommunication,JEE,AI to AI,AI,6276
,,,Engg,,,,
143,6651 (90.9872839),321124610,Information Technology,JEE,AI to AI,AI,3211
144,6654 (90.9833224),225037010,Electronics and Communication,JEE,AI to AI,AI,2250
,,,Engineering,,,,
145,6751 (90.8970491),617724610,Information Technology,JEE,AI to AI,AI,6177
146,6807 (90.7892203),347524510,Computer Engineering,JEE,AI to AI,AI,3475
147,6823 (90.7857216),628961220,Mechanical Engineering,JEE,AI to AI,AI,
,,,,,,,
148,6891 (90.7084774),318537610,Electronics Engineering,JEE,AI to AI,AI,3185
149,6908 (90.6981646),416725110,Computer Technology,JEE,AI to AI,AI,4167
150,7055 (90.4581546),314824510,Computer Engineering,JEE,AI to AI,AI,3148
151,7082 (90.4241126),411624210,Computer Science and Engineering,JEE,AI to AI,AI,4116
152,7123 (90.4012134),320461210,Mechanical Engineering,JEE,AI to AI,AI,3204
153,7288 (90.1842589),319424510,Computer Engineering,JEE,AI to AI,AI,3194
154,7319 (90.1676885),320429310,Electrical Engineering,JEE,AI to AI,AI,
155,7423 (90.0548473),627360610,Production Engineering,JEE,AI to AI,AI,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
156,7433 (90.0548473),411558910,Industrial Engineering,JEE,AI to AI,AI,4115
157,7465 (89.9864094),318361210,Mechanical Engineering,JEE,AI to AI,AI,3183
158,7499 (89.9571486),628224520,Computer Engineering,JEE,AI to AI,AI,6282
,,,,,,,
159,7518 (89.9324633),614637210,Electronics and Telecommunication,JEE,AI to AI,AI,6146
,,,Engg,,,,
160,7519 (89.9291196),613924520,Computer Engineering,JEE,AI to AI,AI,6139
161,7537 (89.8902170),320724510,Computer Engineering,JEE,AI to AI,AI,3207
162,7599 (89.7968945),617519110,Civil Engineering,JEE,AI to AI,AI,6175
,,,,,,,
163,7606 (89.7848617),320137210,Electronics and Telecommunication,JEE,AI to AI,AI,3201
,,,Engg,,,,
164,7614 (89.7697950),416724610,Information Technology,JEE,AI to AI,AI,4167
165,7658 (89.7548849),512124510,Computer Engineering,JEE,AI to AI,AI,5121
166,7779 (89.5610112),318924610,Information Technology,JEE,AI to AI,AI,
167,7812 (89.5413694),320324510,Computer Engineering,JEE,AI to AI,AI,
168,7813 (89.5413694),620724510,Computer Engineering,JEE,AI to AI,AI,6207
,,,,,,,
169,7815 (89.5413694),614661210,Mechanical Engineering,JEE,AI to AI,AI,6146
170,7839 (89.5274738),318324610,Information Technology,JEE,AI to AI,AI,3183
171,8018 (89.3098070),620724520,Computer Engineering,JEE,AI to AI,AI,6207
,,,,,,,
172,8356 (88.9241992),627429310,Electrical Engineering,JEE,AI to AI,AI,6274
173,8376 (88.9184267),319424610,Information Technology,JEE,AI to AI,AI,3194
174,8400 (88.9086194),628124510,Computer Engineering,JEE,AI to AI,AI,6281
175,8476 (88.8196518),347524610,Information Technology,JEE,AI to AI,AI,3475
176,8496 (88.7487167),414299710,Artificial Intelligence,JEE,AI to AI,AI,4142
,,,,,,,
177,8569 (88.7048138),682237210,Electronics and Telecommunication,JEE,AI to AI,AI,6822
,,,Engg,,,,
178,8590 (88.6609640),313561210,Mechanical Engineering,JEE,AI to AI,AI,3135
179,8658 (88.5528082),617624510,Computer Engineering,JEE,AI to AI,AI,
180,8677 (88.5196460),628524510F,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
181,8724 (88.4785021),627461210,Mechanical Engineering,JEE,AI to AI,AI,6274
182,8747 (88.4499302),317619110,Civil Engineering,JEE,AI to AI,AI,3176
183,8753 (88.4266826),614637610,Electronics Engineering,JEE,AI to AI,AI,6146
,,,,,,,
,,,,,,,
,,,,,,,
184,8807 (88.3259525),320437210,Electronics and Telecommunication,JEE,AI to AI,AI,3204
,,,Engg,,,,
185,8808 (88.3259525),628224610,Information Technology,JEE,AI to AI,AI,6282
,,,,,,,
186,8894 (88.2439852),110124210,Computer Science and Engineering,JEE,AI to AI,AI,1101
187,8899 (88.2317034),318460610,Production Engineering,JEE,AI to AI,AI,3184
188,8954 (88.1502334),620724610,Information Technology,JEE,AI to AI,AI,6207
,,,,,,,
189,8975 (88.0911582),615524510,Computer Engineering,JEE,AI to AI,AI,6155
190,8988 (88.0911582),343924510,Computer Engineering,JEE,AI to AI,AI,3439
191,9009 (88.0858330),512124610,Information Technology,JEE,AI to AI,AI,5121
192,9132 (87.8867195),342324610,Information Technology,JEE,AI to AI,AI,3423
193,9205 (87.8161603),615624510,Computer Engineering,JEE,AI to AI,AI,6156
194,9224 (87.8121653),613924610,Information Technology,JEE,AI to AI,AI,6139
195,9225 (87.8100000),313937210,Electronics and Telecommunication,JEE,AI to AI,AI,3139
,,,Engg,,,,
196,9301 (87.7083560),320724610,Information Technology,JEE,AI to AI,AI,3207
197,9314 (87.6956885),628124520,Computer Engineering,JEE,AI to AI,AI,6281
198,9336 (87.6382777),628919110,Civil Engineering,JEE,AI to AI,AI,
,,,,,,,
