Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,98 (99.7006242),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,382 (99.1707669),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
3,490 (98.9880502),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
4,514 (98.9663805),600626610,Robotics and Artificial ,JEE(Main),AI to AI,AI,6006
,,,Intelligence,,,,
5,557 (98.9071117),321524210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering,,,,
6,590 (98.8585228),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
7,697 (98.7010774),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
8,776 (98.5926323),627126310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6271
,,,and Data Science,,,,
9,782 (98.5844234),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
10,810 (98.5580266),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
11,960 (98.3521237),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
12,999 (98.3091724),627184410,Electronics and Computer ,JEE(Main),AI to AI,AI,6271
,,,Engineering,,,,
13,1179 (98.0715925),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
14,1199 (98.0397560),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
15,1230 (97.9909912),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
,,,,,,,
16,1323 (97.8827861),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
17,1345 (97.8638738),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
18,1360 (97.8449825),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
19,1363 (97.8424954),600646410,Instrumentation and ,JEE(Main),AI to AI,AI,6006
,,,Control Engineering,,,,
20,1367 (97.8402269),319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3199
,,,Machine Learning,,,,
21,1410 (97.7832807),319992010,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering (Internet of ,,,,
22,1668 (97.4451146),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
23,1680 (97.4347057),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
24,1689 (97.4284843),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
25,1850 (97.2211052),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
26,1882 (97.1927536),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
27,1962 (97.1031594),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
28,2159 (96.8575206),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
29,2181 (96.8322637),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
30,2189 (96.8273400),303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
31,2292 (96.6970672),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
32,2306 (96.6894189),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
33,2311 (96.6886929),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
34,2312 (96.6794295),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
35,2442 (96.5436338),318524510,Computer Engineering,JEE(Main),AI to AI,AI,3185
,,,,,,,
36,2464 (96.5099099),617524590L,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
37,2605 (96.3345004),317624510,Computer Engineering,JEE(Main),AI to AI,AI,3176
38,2629 (96.2979088),318424510,Computer Engineering,JEE(Main),AI to AI,AI,3184
39,2657 (96.2709380),627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6273
,,,Data Science,,,,
40,2666 (96.2552756),627624550F,Computer Engineering,JEE(Main),AI to AI,AI,6276
41,2675 (96.2366033),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
42,2802 (96.0857558),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
43,2822 (96.0574058),303653410,Food Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
44,2824 (96.0564108),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
45,2862 (96.0178935),600619110,Civil Engineering,JEE(Main),AI to AI,AI,6006
46,2880 (95.9948010),319937210,Electronics and ,JEE(Main),AI to AI,AI,3199
,,,Telecommunication Engg,,,,
47,2995 (95.8709660),628992710,Computer Engineering ,JEE(Main),AI to AI,AI,6289
,,,(Software Engineering),,,,
