Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,86 (99.5054906),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,214 (99.1171999),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
3,303 (98.8890972),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
4,346 (98.7749688),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
5,475 (98.4407968),321591110,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Artificial ,,,,
6,544 (98.2671816),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
7,595 (98.1610494),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
8,604 (98.1417844),321591210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Data Science),,,,
9,801 (97.6836823),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
10,959 (97.2788305),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
11,988 (97.2320598),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
12,1041 (97.1343904),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
13,1044 (97.1317392),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
14,1129 (96.9358943),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
,,,,,,,
15,1279 (96.6380166),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
16,1334 (96.5526646),319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3199
,,,Machine Learning,,,,
17,1358 (96.4821440),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
18,1385 (96.4556109),600646410,Instrumentation and ,JEE(Main),AI to AI,AI,6006
,,,Control Engineering,,,,
19,1403 (96.3998127),319992010,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering (Internet of ,,,,
20,1476 (96.2426608),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
21,1490 (96.2128678),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
22,1602 (96.0127965),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
23,1636 (95.9499609),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
24,1643 (95.9346878),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
25,1660 (95.8995105),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
26,1665 (95.8932206),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
27,1739 (95.7644211),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
28,1876 (95.5101154),318524510,Computer Engineering,JEE(Main),AI to AI,AI,3185
,,,,,,,
,,,,,,,
29,1887 (95.4946722),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
30,1900 (95.4805324),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
31,1919 (95.4579121),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
32,1984 (95.3074282),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
33,2029 (95.2162767),319724510,Computer Engineering,JEE(Main),AI to AI,AI,3197
,,,,,,,
34,2058 (95.1681030),320924610,Information Technology,JEE(Main),AI to AI,AI,3209
35,2215 (94.8747816),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
36,2240 (94.8238192),318424510,Computer Engineering,JEE(Main),AI to AI,AI,3184
37,2253 (94.7952284),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
38,2319 (94.6878491),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
