Sr.No.,Cut Off Merit (Score),Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type,Institue Code
1,244 (99.2336916),321524510,Computer Engineering,JEE,AI to AI,AI,3215
2,321 (99.0946495),627124510,Computer Engineering,JEE,AI to AI,AI,6271
3,362 (99.0252133),321524610,Information Technology,JEE,AI to AI,AI,3215
4,410 (98.9359770),627124520,Computer Engineering,JEE,AI to AI,AI,6271
5,497 (98.7906260),319924510,Computer Engineering,JEE,AI to AI,AI,3199
6,502 (98.7822882),318124510,Computer Engineering,JEE,AI to AI,AI,3181
7,583 (98.6625064),303650710,Chemical Engineering,JEE,AI to AI,AI,3036
8,603 (98.6200646),319924610,Information Technology,JEE,AI to AI,AI,3199
9,733 (98.4271221),411524210,Computer Science and Engineering,JEE,AI to AI,AI,4115
10,776 (98.3583391),303651310,Pharmaceuticals Chemistry and,JEE,AI to AI,AI,3036
11,801 (98.3282482),627124610,Information Technology,JEE,AI to AI,AI,6271
12,817 (98.3134070),321537210,Electronics and Telecommunication,JEE,AI to AI,AI,3215
13,874 (98.2099492),318124610,Information Technology,JEE,AI to AI,AI,3181
14,929 (98.1536917),411524220,Computer Science and Engineering,JEE,AI to AI,AI,4115
15,956 (98.1116316),627324510,Computer Engineering,JEE,AI to AI,AI,
16,1035 (98.0052356),627324520,Computer Engineering,JEE,AI to AI,AI,
17,1063 (97.9708701),303653410,Food Engineering and Technology,JEE,AI to AI,AI,
18,1068 (97.9708701),321537610,Electronics Engineering,JEE,AI to AI,AI,
19,1158 (97.8248706),627324610,Information Technology,JEE,AI to AI,AI,
20,1215 (97.7173803),318161210,Mechanical Engineering,JEE,AI to AI,AI,3181
21,1231 (97.7089463),303651910,Polymer Engineering and Technology,JEE,AI to AI,AI,3036
22,1289 (97.6351816),318224510,Computer Engineering,JEE,AI to AI,AI,3182
23,1300 (97.6191818),318137210,Electronics and Telecommunication,JEE,AI to AI,AI,3181
24,1456 (97.3975976),411524610,Information Technology,JEE,AI to AI,AI,4115
25,1472 (97.3770193),319937210,Electronics and Telecommunication,JEE,AI to AI,AI,3199
26,1478 (97.3728408),303672910,Surface Coating Technology,JEE,AI to AI,AI,3036
27,1490 (97.3421144),627137210,Electronics and Telecommunication,JEE,AI to AI,AI,6271
28,1590 (97.2118993),627137220,Electronics and Telecommunication,JEE,AI to AI,AI,6271
29,1603 (97.1822075),411561210,Mechanical Engineering,JEE,AI to AI,AI,4115
30,1765 (96.9931961),320924510,Computer Engineering,JEE,AI to AI,AI,3209
31,1845 (96.9003985),318524510,Computer Engineering,JEE,AI to AI,AI,3185
32,1854 (96.8752577),303651210,"Oil,Oleochemicals and Surfactants ",JEE,AI to AI,AI,3036
33,1893 (96.8445772),617524510,Computer Engineering,JEE,AI to AI,AI,6175
34,1917 (96.7983937),318524520,Computer Engineering,JEE,AI to AI,AI,3185
35,1989 (96.6981437),319724510,Computer Engineering,JEE,AI to AI,AI,3197
36,1991 (96.6981437),319961210,Mechanical Engineering,JEE,AI to AI,AI,3199
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
37,2020 (96.6626524),411537010,Electronics and Communication,JEE,AI to AI,AI,4115
,,,Engineering,,,,
38,2026 (96.6617642),627337210,Electronics and Telecommunication,JEE,AI to AI,AI,6273
,,,Engg,,,,
39,2069 (96.6016498),627337220,Electronics and Telecommunication,JEE,AI to AI,AI,6273
,,,Engg,,,,
40,2120 (96.5484363),318224610,Information Technology,JEE,AI to AI,AI,3182
41,2185 (96.4497558),628924510,Computer Engineering,JEE,AI to AI,AI,
,,,,,,,
