Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,319 (98.8592858),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,566 (98.2255233),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
3,588 (98.1742081),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
4,693 (97.9548072),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
5,759 (97.7840200),321591110,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Artificial ,,,,
6,817 (97.6505848),321591210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering(Data Science),,,,
7,905 (97.4084446),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
8,945 (97.3253072),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
9,1006 (97.1973940),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
10,1044 (97.1317392),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
11,1181 (96.8428460),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
12,1205 (96.7781232),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
13,1286 (96.6346078),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
14,1498 (96.2007739),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
,,,,,,,
15,1608 (96.0017022),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
16,1679 (95.8678710),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
17,1688 (95.8472516),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
18,1701 (95.8255285),600646410,Instrumentation and ,JEE(Main),AI to AI,AI,6006
,,,Control Engineering,,,,
19,1804 (95.6361975),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
20,1817 (95.6054931),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
21,1819 (95.6031954),319724610,Information Technology,JEE(Main),AI to AI,AI,3197
,,,,,,,
22,1858 (95.5586921),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
23,1876 (95.5101154),320824510,Computer Engineering,JEE(Main),AI to AI,AI,3208
24,1927 (95.4300949),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
25,2084 (95.1274182),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
26,2176 (94.9447669),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
27,2190 (94.9328203),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
28,2192 (94.9328203),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
29,2260 (94.7886931),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
30,2302 (94.7165614),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
31,2362 (94.6139139),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
32,2431 (94.4891309),627624550F,Computer Engineering,JEE(Main),AI to AI,AI,6276
33,2438 (94.4730177),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
34,2580 (94.2290886),317624510,Computer Engineering,JEE(Main),AI to AI,AI,3176
35,2625 (94.1467129),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
36,2691 (94.0334499),627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6273
,,,Data Science,,,,
37,2954 (93.5533708),600619110,Civil Engineering,JEE(Main),AI to AI,AI,6006
38,3044 (93.3798290),320924610,Information Technology,JEE(Main),AI to AI,AI,3209
39,3045 (93.3765087),318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3185
,,,Data Science,,,,
40,3059 (93.3658113),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
41,3091 (93.3225766),321124510,Computer Engineering,JEE(Main),AI to AI,AI,3211
42,3132 (93.2455236),317624610,Information Technology,JEE(Main),AI to AI,AI,3176
,,,,,,,
43,3187 (93.1522600),318526110,Electronics and Computer ,JEE(Main),AI to AI,AI,3185
,,,Science,,,,
44,3235 (93.0687265),317699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3176
,,,Data Science,,,,
45,3251 (93.0334519),628924610,Information Technology,JEE(Main),AI to AI,AI,6289
,,,,,,,
46,3257 (93.0283292),318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3184
,,,Data Science,,,,
47,3307 (92.9491790),313924510,Computer Engineering,JEE(Main),AI to AI,AI,3139
48,3320 (92.9407519),319937210,Electronics and ,JEE(Main),AI to AI,AI,3199
,,,Telecommunication Engg,,,,
49,3348 (92.8457964),314824510,Computer Engineering,JEE(Main),AI to AI,AI,3148
,,,,,,,
50,3385 (92.7954163),628991110,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering(Artificial ,,,,
51,3423 (92.7571707),303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
52,3427 (92.7571707),411591110,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Artificial ,,,,
53,3457 (92.6798669),628991310,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Artificial ,,,,
54,3465 (92.6669788),627424510,Computer Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
55,3546 (92.5353885),627224610,Information Technology,JEE(Main),AI to AI,AI,6272
,3555 (92.5031211),627337210,Electronics and ,JEE(Main),AI to AI,AI,6273
,,,Telecommunication Engg,,,,
,,,,,,,
57,3699 (92.2423769),628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6289
,,,Data Science,,,,
58,3773 (92.1201280),600662710,Manufacturing Science ,JEE(Main),AI to AI,AI,6006
,,,and Engineering,,,,
59,3793 (92.0723335),320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3209
,,,Data Science,,,,
60,3831 (92.0046912),600669410,Metallurgy and Material ,JEE(Main),AI to AI,AI,6006
,,,Technology,,,,
61,4015 (91.6749410),627637250F,Electronics and ,JEE(Main),AI to AI,AI,6276
,,,Telecommunication Engg,,,,
62,4039 (91.6436528),627824510,Computer Engineering,JEE(Main),AI to AI,AI,6278
63,4088 (91.5376268),313924610,Information Technology,JEE(Main),AI to AI,AI,3139
64,4101 (91.5298361),313990010,Electronics and Computer ,JEE(Main),AI to AI,AI,3139
,,,Science,,,,
65,4135 (91.4706290),614124610,Information Technology,JEE(Main),AI to AI,AI,6141
,,,,,,,
66,4373 (91.0918781),320429310,Electrical Engineering,JEE(Main),AI to AI,AI,3204
67,4395 (91.0460369),679624510,Computer Engineering,JEE(Main),AI to AI,AI,6796
68,4413 (90.9998117),318591610,Automation and Robotics,JEE(Main),AI to AI,AI,3185
,,,,,,,
69,4531 (90.8065373),627424610,Information Technology,JEE(Main),AI to AI,AI,6274
,,,,,,,
70,4541 (90.8013114),618561210,Mechanical Engineering,JEE(Main),MH to AI,GNT1H,6185
71,4579 (90.7289223),614126210,Computer Science and ,JEE(Main),AI to AI,AI,6141
,,,Business Systems,,,,
72,4742 (90.4776661),620724510,Computer Engineering,JEE(Main),AI to AI,AI,6207
,,,,,,,
73,4773 (90.3957196),682224510,Computer Engineering,JEE(Main),AI to AI,AI,6822
,,,,,,,
74,4875 (90.2893144),303653410,Food Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
75,4983 (90.1154312),320424610,Information Technology,JEE(Main),AI to AI,AI,3204
76,4988 (90.1114827),680224510,Computer Engineering,JEE(Main),AI to AI,AI,6802
,,,,,,,
77,4996 (90.1011527),620724610,Information Technology,JEE(Main),AI to AI,AI,6207
,,,,,,,
78,5096 (89.9093956),317690010,Electronics and Computer ,JEE(Main),AI to AI,AI,3176
,,,Science,,,,
79,5125 (89.8845558),320937210,Electronics and ,JEE(Main),AI to AI,AI,3209
,,,Telecommunication Engg,,,,
80,5129 (89.8674581),628224510,Computer Engineering,JEE(Main),AI to AI,AI,6282
,,,,,,,
81,5148 (89.8373729),675424510,Computer Engineering,JEE(Main),AI to AI,AI,6754
82,5164 (89.8084004),617537210,Electronics and ,JEE(Main),AI to AI,AI,6175
,,,Telecommunication Engg,,,,
83,5166 (89.8084004),614624510,Computer Engineering,JEE(Main),AI to AI,AI,6146
84,5176 (89.7866153),682224610,Information Technology,JEE(Main),AI to AI,AI,6822
,,,,,,,
,,,,,,,
85,5256 (89.6203317),628224610,Information Technology,JEE(Main),AI to AI,AI,6282
,,,,,,,
86,5276 (89.5893878),416724210,Computer Science and ,JEE(Main),AI to AI,AI,4167
,,,Engineering,,,,
87,5461 (89.2661249),627299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6272
,,,Data Science,,,,
88,5463 (89.2580600),319024510,Computer Engineering,JEE(Main),AI to AI,AI,3190
89,5523 (89.1899340),303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI,3036
,,,Surfactants Technology,,,,
90,5541 (89.1510612),318724510,Computer Engineering,JEE(Main),AI to AI,AI,3187
91,5562 (89.1034655),411537010,Electronics and ,JEE(Main),AI to AI,AI,4115
