Sr. No,"All India 
Merit",Choice Code,Course Name,"Exam(JEE/
MHT-CET)",Type,Seat Type,InstituteCode
1,265 (99.3677373),600624510,Computer Engineering,JEE(Main),AI to AI,AI,6006
2,490 (98.9880502),600637210,Electronics and ,JEE(Main),AI to AI,AI,6006
,,,Telecommunication Engg,,,,
3,616 (98.8334499),600626610,Robotics and Artificial ,JEE(Main),AI to AI,AI,6006
,,,Intelligence,,,,
4,689 (98.7112883),627124510,Computer Engineering,JEE(Main),AI to AI,AI,6271
5,705 (98.6972058),321524210,Computer Science and ,JEE(Main),AI to AI,AI,3215
,,,Engineering,,,,
6,801 (98.5701162),321524510,Computer Engineering,JEE(Main),AI to AI,AI,3215
,,,,,,,
7,900 (98.4261758),627126310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,6271
,,,and Data Science,,,,
8,914 (98.4010331),319924510,Computer Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
9,923 (98.3946799),627124610,Information Technology,JEE(Main),AI to AI,AI,6271
10,1040 (98.2536938),600629310,Electrical Engineering,JEE(Main),AI to AI,AI,6006
11,1087 (98.1914836),627184410,Electronics and Computer ,JEE(Main),AI to AI,AI,6271
,,,Engineering,,,,
12,1111 (98.1558183),319924610,Information Technology,JEE(Main),AI to AI,AI,3199
,,,,,,,
13,1309 (97.8990215),319991210,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering(Data Science),,,,
14,1349 (97.8522219),627324510,Computer Engineering,JEE(Main),AI to AI,AI,6273
,,,,,,,
,,,,,,,
15,1389 (97.8080999),600646410,Instrumentation and ,JEE(Main),AI to AI,AI,6006
,,,Control Engineering,,,,
16,1427 (97.7699002),319926310,Artificial Intelligence (AI) ,JEE(Main),AI to AI,AI,3199
,,,and Data Science,,,,
17,1495 (97.6788269),318224510,Computer Engineering,JEE(Main),AI to AI,AI,3182
18,1498 (97.6788269),321537210,Electronics and ,JEE(Main),AI to AI,AI,3215
,,,Telecommunication Engg,,,,
19,1522 (97.6446378),319992110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3199
,,,Machine Learning,,,,
20,1610 (97.5308813),303650710,Chemical Engineering,JEE(Main),AI to AI,AI,3036
21,1669 (97.4432520),319992010,Computer Science and ,JEE(Main),AI to AI,AI,3199
,,,Engineering (Internet of ,,,,
22,1936 (97.1228763),411524210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering,,,,
23,1950 (97.1128888),627137210,Electronics and ,JEE(Main),AI to AI,AI,6271
,,,Telecommunication Engg,,,,
24,1953 (97.1128888),303653410,Food Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
25,1961 (97.1031594),627324610,Information Technology,JEE(Main),AI to AI,AI,6273
,,,,,,,
26,1962 (97.1031594),318224610,Information Technology,JEE(Main),AI to AI,AI,3182
27,1990 (97.0755580),600661210,Mechanical Engineering,JEE(Main),AI to AI,AI,6006
28,2053 (96.9943485),617524510,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
,,,,,,,
29,2281 (96.7108317),303651910,Polymer Engineering and ,JEE(Main),AI to AI,AI,3036
,,,Technology,,,,
30,2315 (96.6776259),318299510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3182
,,,Data Science,,,,
31,2321 (96.6624359),627391110,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering(Artificial ,,,,
32,2329 (96.6600889),627391310,Computer Science and ,JEE(Main),AI to AI,AI,6273
,,,Engineering (Artificial ,,,,
33,2460 (96.5110873),320924510,Computer Engineering,JEE(Main),AI to AI,AI,3209
34,2480 (96.5024078),318524510,Computer Engineering,JEE(Main),AI to AI,AI,3185
,,,,,,,
35,2554 (96.3875507),303651310,Pharmaceuticals ,JEE(Main),AI to AI,AI,3036
,,,Chemistry and Technology,,,,
36,2632 (96.2914824),617524590L,Computer Engineering,JEE(Main),AI to AI,AI,6175
,,,,,,,
37,2653 (96.2720543),617524610,Information Technology,JEE(Main),AI to AI,AI,6175
,,,,,,,
38,2687 (96.2149352),627624550F,Computer Engineering,JEE(Main),AI to AI,AI,6276
39,2719 (96.1874106),319937210,Electronics and ,JEE(Main),AI to AI,AI,3199
,,,Telecommunication Engg,,,,
40,2802 (96.0857558),627399510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6273
,,,Data Science,,,,
41,2803 (96.0857558),318424510,Computer Engineering,JEE(Main),AI to AI,AI,3184
42,2814 (96.0729904),617591110,Computer Science and ,JEE(Main),AI to AI,AI,6175
,,,Engineering(Artificial ,,,,
,,,,,,,
43,2820 (96.0574058),411524610,Information Technology,JEE(Main),AI to AI,AI,4115
44,2883 (95.9896541),627624650F,Information Technology,JEE(Main),AI to AI,AI,6276
45,2987 (95.8797635),628924510,Computer Engineering,JEE(Main),AI to AI,AI,6289
,,,,,,,
46,3141 (95.7090173),600619110,Civil Engineering,JEE(Main),AI to AI,AI,6006
47,3147 (95.7068818),320924610,Information Technology,JEE(Main),AI to AI,AI,3209
48,3151 (95.6969093),318237210,Electronics and ,JEE(Main),AI to AI,AI,3182
,,,Telecommunication Engg,,,,
49,3185 (95.6471571),303651210,"Oil,Oleochemicals and ",JEE(Main),AI to AI,AI,3036
,,,Surfactants Technology,,,,
50,3194 (95.6308075),411591110,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Artificial ,,,,
51,3367 (95.4416518),317624610,Information Technology,JEE(Main),AI to AI,AI,3176
52,3429 (95.3842579),627337210,Electronics and ,JEE(Main),AI to AI,AI,6273
,,,Telecommunication Engg,,,,
53,3492 (95.3312187),628992710,Computer Engineering ,JEE(Main),AI to AI,AI,6289
,,,(Software Engineering),,,,
54,3519 (95.2771468),600662710,Manufacturing Science ,JEE(Main),AI to AI,AI,6006
,,,and Engineering,,,,
55,3627 (95.1553533),627224510,Computer Engineering,JEE(Main),AI to AI,AI,6272
56,3629 (95.1553533),628991110,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering(Artificial ,,,,
"
",,,,,,,
57,3666 (95.1082833),628924610,Information Technology,JEE(Main),AI to AI,AI,6289
,,,,,,,
58,3733 (95.0309825),318499510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3184
,,,Data Science,,,,
59,3766 (95.0060577),318524610,Information Technology,JEE(Main),AI to AI,AI,3185
,,,,,,,
60,3819 (94.9419351),411591210,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Data Science),,,,
61,3864 (94.8838069),320999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3209
,,,Data Science,,,,
62,3883 (94.8658360),303651110,Dyestuff Technology,JEE(Main),AI to AI,AI,3036
63,3921 (94.8247468),317692110,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3176
,,,Machine Learning,,,,
64,3953 (94.7818312),628991310,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Artificial ,,,,
65,3979 (94.7586285),411537010,Electronics and ,JEE(Main),AI to AI,AI,4115
,,,Communication ,,,,
66,3988 (94.7483311),600669410,Metallurgy and Material ,JEE(Main),AI to AI,AI,6006
,,,Technology,,,,
67,3990 (94.7465657),321424510,Computer Engineering,JEE(Main),AI to AI,AI,3214
,,,,,,,
68,3993 (94.7462396),318599510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3185
,,,Data Science,,,,
69,4027 (94.7156724),628991210,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering(Data Science),,,,
70,4030 (94.7099379),411591010,Computer Science and ,JEE(Main),AI to AI,AI,4115
,,,Engineering(Cyber ,,,,
"
",,,,,,,
71,4076 (94.6399329),319724510,Computer Engineering,JEE(Main),AI to AI,AI,3197
,,,,,,,
72,4083 (94.6380659),317699510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3176
,,,Data Science,,,,
73,4187 (94.5184949),627424510,Computer Engineering,JEE(Main),AI to AI,AI,6274
,,,,,,,
74,4222 (94.4892738),628992010,Computer Science and ,JEE(Main),AI to AI,AI,6289
,,,Engineering (Internet of ,,,,
75,4333 (94.3402505),319724610,Information Technology,JEE(Main),AI to AI,AI,3197
,,,,,,,
76,4400 (94.2936349),321124510,Computer Engineering,JEE(Main),AI to AI,AI,3211
77,4523 (94.1564979),628999510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,6289
,,,Data Science,,,,
78,4546 (94.1174929),321199510,Artificial Intelligence and ,JEE(Main),AI to AI,AI,3211
,,,Data Science,,,,
79,4572 (94.0992836),627224610,Information Technology,JEE(Main),AI to AI,AI,6272
80,4577 (94.0913251),317691010,Computer Science and ,JEE(Main),AI to AI,AI,3176
,,,Engineering(Cyber ,,,,
81,4741 (93.9136036),411590010,Electronics and Computer ,JEE(Main),AI to AI,AI,4115
,,,Science,,,,
82,4761 (93.8909663),320937210,Electronics and ,JEE(Main),AI to AI,AI,3209
,,,Telecommunication Engg,,,,
83,4767 (93.8868890),617537210,Electronics and ,JEE(Main),AI to AI,AI,6175
,,,Telecommunication Engg,,,,
84,4786 (93.8517278),627424610,Information Technology,JEE(Main),AI to AI,AI,6274
,,,,,,,
"
",,,,,,,
85,4798 (93.8277850),317690010,Electronics and Computer ,JEE(Main),AI to AI,AI,3176
,,,Science,,,,
86,4918 (93.7396904),319961210,Mechanical Engineering,JEE(Main),AI to AI,AI,3199
,,,,,,,
